iter	Passed	Remaining
0	1	10397
1	3	10332
2	4	9915
3	6	9569
4	7	9497
5	9	9177
6	10	8966
7	11	8800
8	13	8713
9	14	8812
10	16	8769
11	17	8716
12	18	8685
13	20	8799
14	22	8788
15	23	8824
16	24	8778
17	26	8739
18	27	8789
19	29	8723
20	30	8659
21	31	8595
22	33	8589
23	34	8625
24	35	8580
25	37	8559
26	38	8531
27	39	8524
28	41	8514
29	42	8522
30	44	8482
31	45	8459
32	46	8466
33	48	8432
34	49	8409
35	50	8382
36	51	8351
37	53	8446
38	55	8520
39	57	8552
40	58	8559
41	60	8598
42	62	8652
43	63	8654
44	65	8675
45	67	8720
46	68	8706
47	70	8689
48	71	8671
49	73	8702
50	75	8777
51	76	8773
52	78	8786
53	80	8826
54	81	8847
55	83	8874
56	85	8882
57	86	8909
58	88	8913
59	89	8907
60	91	8902
61	93	8915
62	94	8928
63	96	8904
64	97	8879
65	98	8866
66	100	8875
67	101	8861
68	102	8834
69	104	8828
70	105	8810
71	107	8813
72	108	8793
73	109	8770
74	110	8748
75	111	8729
76	114	8781
77	115	8793
78	117	8784
79	118	8778
80	120	8783
81	121	8783
82	122	8766
83	124	8759
84	125	8746
85	127	8766
86	129	8770
87	130	8753
88	131	8735
89	132	8726
90	134	8732
91	135	8730
92	137	8730
93	139	8737
94	140	8754
95	142	8754
96	143	8737
97	144	8726
98	146	8732
99	147	8731
100	149	8715
101	150	8698
102	151	8681
103	152	8673
104	154	8669
105	155	8668
106	157	8662
107	158	8657
108	160	8657
109	161	8646
110	162	8633
111	164	8625
112	165	8612
113	167	8622
114	168	8618
115	169	8606
116	171	8601
117	172	8606
118	174	8601
119	175	8603
120	176	8592
121	178	8578
122	179	8574
123	180	8564
124	181	8550
125	183	8539
126	184	8526
127	185	8521
128	187	8526
129	188	8521
130	190	8515
131	191	8509
132	192	8512
133	194	8510
134	195	8513
135	197	8508
136	198	8506
137	200	8511
138	201	8512
139	203	8514
140	204	8510
141	206	8511
142	208	8521
143	209	8521
144	211	8529
145	212	8537
146	214	8537
147	216	8554
148	217	8559
149	219	8570
150	221	8577
151	223	8579
152	224	8580
153	226	8581
154	227	8594
155	229	8592
156	231	8598
157	232	8599
158	234	8603
159	235	8610
160	237	8607
161	238	8611
162	240	8615
163	242	8613
164	243	8616
165	245	8619
166	247	8631
167	248	8637
168	250	8640
169	252	8652
170	254	8664
171	255	8660
172	257	8662
173	258	8662
174	260	8661
175	261	8667
176	263	8669
177	264	8665
178	267	8683
179	268	8678
180	269	8676
181	271	8677
182	273	8685
183	274	8684
184	276	8684
185	277	8675
186	279	8674
187	280	8679
188	282	8676
189	283	8670
